52.2087 20.9297	541
52.2220 20.9175	602
39.5608	-28.3903 12184
39.5365	-28.4622 12192
39.5077	-28.5473 12184
39.4835	-28.6177 12192
39.4590	-28.6894 12184
39.4348	-28.7599 12184
39.4102	-28.8315 12184
39.3859	-28.9021 12184
39.3480	-29.0117 12192
39.3234	-29.0828 12184
39.2994	-29.1519 12192
39.2742	-29.2246 12192
39.2467	-29.3026 12184
39.2226	-29.3719 12192
39.1963	-29.4467 12192
39.1509	-29.5757 12184
39.1244	-29.6508 12184
39.0963	-29.7303 12184
39.0719	-29.7990 12192
39.0440	-29.8770 12184
39.0155	-29.9568 12192
38.9950	-30.0220 12184
38.9684	-30.1283 12184
38.9504	-30.2000 12192
38.9326	-30.2718 12184
38.9148	-30.3436 12192
38.8958	-30.4189 12184
38.8758	-30.4985 12192
38.8474	-30.6113 12184
38.8295	-30.6822 12184
38.8077	-30.7678 12192
38.7836	-30.8626 12184
38.7652	-30.9344 12184
38.7470	-31.0051 12184
38.7285	-31.0769 12184
38.7107	-31.1458 12184
38.6924	-31.2168 12192
38.6747	-31.2848 12192
38.6561	-31.3566 12184
38.6378	-31.4266 12192
38.6020	-31.5631 12184
38.5837	-31.6329 12192
38.5640	-31.7073 12192
38.5459	-31.7756 12184
38.5271	-31.8467 12184
38.5083	-31.9171 12192
38.4798	-32.0237 12184
38.4615	-32.0926 12192
38.4423	-32.1634 12192
38.4161	-32.2610 12184
38.3972	-32.3308 12184
38.3593	-32.4703 12192
38.3406	-32.5391 12192
38.3095	-32.6527 12192
38.2847	-32.7428 12184
38.2279	-32.9486 12192
38.1540	-33.2135 12184
38.1312	-33.2949 12192
38.1125	-33.3612 12192
38.0324	-33.6439 12192
35.1000	-42.5333 12192
34.6333	-43.7667 12192
33.6000	-46.3333 12192
29.5667	-53.7500 12192
28.0333	-55.9500 12192
27.2500	-57.0333 12192
25.0000	-60.0000 12192
24.3167	-61.4000 12192
23.7333	-62.5833 12192
23.5000	-63.0500 12192
23.1923	-63.5165 12192
23.1181	-63.6278 12184
23.0705	-63.6990 12192
22.9952	-63.8115 12192
22.9416	-63.8914 12192
22.8811	-63.9815 12184
22.7667	-64.1333 12192
22.7633	-64.1565 12192
22.7059	-64.2414 12192
22.6669	-64.2991 12192
22.6289	-64.3552 12184
22.5901	-64.4126 12192
22.5215	-64.5137 12192
22.4816	-64.5723 12184
22.4365	-64.6387 12184
22.3864	-64.7122 12192
22.3479	-64.7687 12192
22.2894	-64.8542 12192
22.2509	-64.9105 12192
22.2123	-64.9669 12184
22.1736	-65.0234 12192
22.1358	-65.0785 12192
22.0945	-65.1386 12192
22.0190	-65.2485 12184
21.9816	-65.3028 12184
21.9389	-65.3646 12192
21.9003	-65.4205 12192
21.8436	-65.5025 12192
21.8022	-65.5622 12192
21.7452	-65.6446 12192
21.7065	-65.7002 12192
21.6665	-65.7578 12184
21.6277	-65.8137 12184
21.5703	-65.8962 12192
21.5294	-65.9548 12192
21.4890	-66.0126 12192
21.4476	-66.0688 12192
21.4040	-66.1232 12184
21.3607	-66.1764 12192
21.3148	-66.2330 12192
21.2639	-66.2956 12192
21.2217	-66.3473 12192
21.1750	-66.4043 12192
21.1105	-66.4832 12192
21.0664	-66.5370 12192
21.0215	-66.5918 12184
20.9779	-66.6450 12184
20.9343	-66.6982 12184
20.8925	-66.7492 12184
20.8483	-66.8030 12184
20.8066	-66.8537 12184
20.7560	-66.9151 12192
20.7097	-66.9712 12192
20.6649	-67.0256 12184
20.6232	-67.0761 12154
20.5807	-67.1275 12085
20.5393	-67.1776 11933
20.5002	-67.2247 11674
20.4572	-67.2764 11377
20.4169	-67.3254 11095
20.3801	-67.3698 10836
20.3390	-67.4189 10546
20.3026	-67.4624 10264
20.2649	-67.5076 9990
20.2266	-67.5538 9708
20.1893	-67.5988 9441
20.1517	-67.6440 9174
20.1125	-67.6908 8908
20.0767	-67.7336 8672
20.0383	-67.7794 8420
20.0025	-67.8221 8192
19.9649	-67.8671 7948
19.9261	-67.9135 7704
19.8908	-67.9556 7490
19.8483	-68.0060 7224
19.8124	-68.0489 7010
19.7939	-68.0702 6904
19.7538	-68.1002 6690
19.6987	-68.1238 6302
19.6484	-68.1449 6050
19.6003	-68.1648 5875
19.5524	-68.1846 5753
19.5080	-68.2031 5601
19.4607	-68.2227 5349
19.4154	-68.2415 5136
19.3708	-68.2600 4900
19.3276	-68.2778 4717
19.2851	-68.2953 4450
19.2452	-68.3119 4237
19.2028	-68.3296 4031
19.1614	-68.3465 3818
19.1207	-68.3633 3604
19.0807	-68.3799 3383
19.0416	-68.3961 3170
19.0177	-68.4059 3040
18.9787	-68.4219 2827
18.9592	-68.4300 2720
18.9205	-68.4460 2507
18.8827	-68.4616 2294
18.8441	-68.4774 2073
18.8067	-68.4929 1867
18.7669	-68.5092 1638
18.7490	-68.5166 1539
18.7118	-68.5319 1326
18.6738	-68.5476 1105
18.6394	-68.5616 968
18.6211	-68.5691 922
18.6034	-68.5738 892
18.5770	-68.5675 899
18.5624	-68.5632 899
18.5484	-68.5590 892
18.5357	-68.5536 892
18.5287	-68.5409 861
18.5319	-68.5228 777
18.5375	-68.5021 671
18.5433	-68.4820 572
18.5483	-68.4639 480
18.5617	-68.4148 191
